,date,rating,review
0,"Apr 24, 2019",9,"I feel like I'm wasting my time writing down my thoughts about Avengers: Endgame, because nothing I (or any critic) could say about it would ever dissuade a prospective viewer from seeing it. But after having had the chance to watch it at a preview screening, I can't help but say a few spoiler-free words.I'm not your average fanboy -- most long-running franchises have bored me at this point, and I couldn't care less about the newest Star Wars episode or whether there will be another film set in the Harry Potter universe.But Marvel films have been consistently watchable, with many solid entries and a few great ones (Winter Soldier, Ragnarok, the first Guardians of the Galaxy among others). And after Infinity War ended with a cliffhanger, I was looking forward to the conclusion. Boy, was I not disappointed!Very few highly-anticipated movies live up to the hype, but Avengers: Endgame is one of them. It's the perfect follow up to Infinity War, and the absolute zenith of the Marvel franchise. It's hard to see how they'll be able to top this one.It's surprisingly inventive (even when you know where the story is headed, the plot takes a few tangents getting there), emotionally engaging (a few people were crying in the theater) and surprisingly funny (this is probably the most I've laughed in a Marvel film since Thor: Ragnarok). Visually speaking, it's a true spectacle (topping Infinity War in the 'epic battle' stakes), and even though it's three hours long, it doesn't feel bloated. The only times I glanced at my watch was because I was hoping there would be more time before the end.Yes, it's a superhero movie, but an immensely entertaining one (especially for fans who have seen all the pictures that came before it: there are tons of references and inside jokes to reward the faithful).If ""Return of the King"" managed to win Best picture at the 2003 Oscars Avengers: Endgame deserves at least a nomination. It's as good (and in many ways better) a conclusion to a fantasy/genre series as the Peter Jackson film,.Go see it."
1,"Nov 26, 2021",10,"This film is an emotional rollercoaster with some of the coolest superhero plot lines ever drawn up. It's straight up the most epic Marvel film that will probably ever be created. I don't see how Marvel could ever top this, but getting to see these characters all together at least one last time was a reward all on its own."
2,"Apr 26, 2019",10,"First review from me. This film deserves it. A superhero film, marvel or not, does not have the right to send me on the emotional rollercoaster that End Game did. It has no right to do what it did, paying tribute to 10 years of films whilst changing the rules as to what a superhero film should be.I laughed, lots. I cried, lots. I cheered (quietly and internally of course), lots I even punched the air in a ""go on!"" during one sceneI can honestly say, no film has ever moved me like that. Hours later, my heart was still pounding, the adrenaline still flowing from this epic piece of film making.Made by fans, for fans. Are there flaws? Yes. If you over think the story of course there is. But it works. It flows. It fits.Go with it. Enjoy the ride.Soak up every second, it doesn't feel like 3 hours, it feels like a flow of story reaching a conclusion that will shock and move you.I have nothing else to say.10/10. Well done Russo brothers. Well done!Fans! Assemble!"
3,"Apr 26, 2019",10,"Thank you Marvel, End Game is an ending that give me speechless."
4,"May 8, 2019",10,"After watching Infinity war, I was looking forward to much more this time, still a perfect ending."
5,"Apr 24, 2019",10,"If you're going to watch this movie, avoid any spoilers, even spoiler free reviews. Which is why I'm not going to say anything about the movie. Not even my opinion. All I'm going to say is:The crowd applauded 3 times during the movie, and stood up to clap their hands after. This I have never witnessed in a Dutch cinema. Dutch crowds aren't usually passionate about this. I checked the row where I was sitting, and people were crying. After the movie, I was seeing people with smudged mascara. That's all I have to say about the movie."
6,"Sep 25, 2021",10,As always avengers didn't disappoint even with a few loops or inconsistencies. Hope marvel does more movies about some characters from avengers.
7,"Apr 25, 2019",10,"After Avengers Infinity War, we waited for the Avengers Endgame. We wondered how the story would go on, how our heroes would turn back, what would be the end of Thanos. Many theories related to this have been put forward. Avengers Endgame was undoubtedly the most anticipated film of recent years. Normally, the higher the expectation, the higher the probability of disappointment. But this is not the case for Endgame. Whatever you're expecting, you find much more in the film. This means that the biggest concern about the film has disappeared.On the other hand, another comparison comes up. Is Endgame more successful than Infinity War? We can comfortably say it Avengers Infinity War is just the beginning of the story. Endgame was the finale of the story. So we shouldn't think of these two films as two separate stories. There is only one story divided into two parts.Avengers Endgame is, above all, a great homage to the ten-year history of the Marvel Cinematic Universe. The story highlights the original Avengers team. Iron Man, Captain America, Thor, Hulk, Black Widow and Hawkeye are at the center of events. No character comes in front of them. Of course there are many characters that play an important role in the story outside the original Avengers team. Everyone's concern was that Captain Marvel, who was included in the Marvel world, overshadowed other heroes. We can say that this certainly did not happen. What is important in this struggle is not how strong you are, but how good you are. This comes to the fore in all areas. It gives good message about being a hero and a family.Of course, Avengers Endgame has some critical aspects. For example, is the three-hour period necessary in terms of the story? It can be discussed. The head of the story moves much slower than the rest. It also drags the heroes into an emotional predicament. Then the tempo is rising and the heavy scenes we are watching are getting more meaningful. The last 45 minutes of the movie is fully action packed. But the last 45 minutes goes so fast that you don't even realize it. Action and battle scenes are really successful. There is not even a slight distress about visual effects. There are also slight logic errors in the film, but in general the story is so successful that these details become meaningless and insignificant after a certain point.Lastly, Avengers Endgame doesn't have a movie end scene. Because after the film's final, there is no need for another scene. The Marvel legend Stan Lee appears with a small stage. But this is the last surprise scene in the Marvel Cinematic Universe. Moreover, there is no clue about Marvel's future. This makes us wonder more about Spider-Man: Far from Home. 10/10"
8,"Apr 30, 2019",6,After Infinity War I had huge expectations. Unfortunately I think it doesn't follow the comic book at all because they wanted some kind of closure of the story. I saw a lot of 10 star reviews and I cannot believe the majority of people like this movie more than Infinity War. I'm not saying it wasn't entertainment to watch but the feeling is that all heroes were forced to fit in a movie paying a big price to the story. There are moments in the movie where the rules from all other Marvel movies are broken and characters which were build over hours of screen time were reduced in order to make space for others. The story is average at best with big flaws.
9,"Apr 24, 2019",10,Avengers: Endgame is above all the best Marvel superhero movie to date. This is also the best and epic conclusion to the 21 movies in the first 10 years of the MCU. This is the epic culmination. The best storytelling ever told.
10,"Apr 24, 2019",10,"Unbelievable. For Marvel to pull this tour de force of a film is unreal. 21 films. 21 films culminating in the conclusion of endgame. The scope is incredible, I will only say it's definitely one of the best Marvel films out there, and there are many. I don't want to spoil anything. Watch it!"
11,"Apr 24, 2019",10,"I laughed , cried and was speechless. 3 hours well used. It was a perfect ""ending"" of the Avenger Movies. I will watch it again and again and again. 10 points well deserved!!!"
12,"Apr 29, 2019",8,"The Russo Brothers will be forever known as the directors that failed a franchise and insulted the very fans that embraced it.I have no idea why they felt their finished product would pay homage to Stan Lee's legacy or the characters he brought to life but this ""closure"" to a decade of greatness was, in fact, the most disappointing 3-hours of character assassination in cinematic history."
13,"Apr 28, 2019",10,"I loved how the story of the Infinity War was conceived. With all the fight scenes and the emotional aspect of the movie, especially the end part, everything was superb. But this is supposed to be a wrap-up film. The directors and writers just destroyed it all. What's the point of doing a hype over Captain Marvel for this movie when you just give her a few minutes of screen time? It would be forgiven if you give her an amazing fight with the villain during the climax. But what have you done? With just a few kicks and punches and that's it. It doesn't give a scratch over Thano's face. What a crap!!!You also ruin Hulk! He is supposed to be the strongest Avenger after the events of Infinity War, after all the disappointment and frustration he has experienced when Hulk won't face Thanos. But this time, he's just as good as nothing Avenger. I wonder why they did not give Thanos and Hulk a fight of a lifetime. I'm really surprised that they did not even get face-to-face when all hell breaks loose.This movie is dubbed as an action movie but got 75% of the time talking and mumbling.There's no justice at all to those beloved characters and this movie. You have ruined my expectations."
14,"Apr 24, 2019",8,"Don't get me wrong, the movie was great, but would I watch it a second time? Probably not - until the DVD comes out.I've seen infinity war at least 5 times, and it's one of my favorite films.That being said, i will compare the two movies for sure, and I just disliked the pacing, it was all over the place. Some Characters felt off, and some got little to no screen time, where others had too much.It's just too many characters for one movie, even though infinity war did it much better, with just as many characters. I just can't put my finger on it.The fighting scenes were alright, the first half lacked action, but the second half delivered some good solid scenes, nothing groundbreaking, but fun to watch. They can't reinvent the wheel, neither do they want to. They stick to what works, and that's alright.All in all, the movie was a close 8/10, the fanboys who give it a 10 are just blind to accept the mistakes the movie made. It's not a perfect film, even an 8 is really generous in my opinion. The Movie works with nostalgia and gives fans of the MCU the things they wanted, more or less.Still thinking Thor 3 was the best MCU movie. Sue me."
15,"Apr 24, 2019",10,Rating 10/10 Absolute perfection end game !! Good acting performance to all the characters. Great cgi's. Truly epic & perfect ending to a long journey of marvel movie. Go see it you wont regret it !! Perfection Marvel Endgame !!
16,"Apr 30, 2019",8,I went in with the highest expectations and came out underwhelmed and disappointed. its nowhere near as good as infinity war !!!
17,"Apr 24, 2019",10,This movie proves the Russo brothers are in a league of their own when it comes to closing a franchise this big. In my opinion they pulled of the most satisfying ending this story arc could have.It's nothing without its previous 21 movies. Must watch for every movie fan.
18,"May 12, 2019",9,"Right in the beginning, you know how the movie is going to end...the good guys are going to win. How anti-climactic that was.. The stage is not set right (half of all humanity is gone, but the enormity of that is not explored...)...when you have Thanos give his explanation as to why he did what he did, I found myself thinking - well, he actually has a point. In the meanwhile, every single superhero is given time to fight, say some cute things, some say a few smart things, a few even manage to say profoundly philosophical statements... The quantum physics explanations used to explain how things are done, are plainly non sense... ..they just made stuff up as they went on. Alls well that ends well. Except we spent 3 hours to find that out."
19,"Jun 14, 2019",6,This movie was a terrible mess from start to finish.
20,"May 4, 2019",10,Probably one of the worst Avengers movie to date. The plot was extremely childish and did not make sense. Completely went astray from the plot described in the comics. Very disappointed...
21,"Aug 19, 2019",8,3 hours out of my life I will never get back. not worth the hype. you think the soap opera is done by the ultimate battle. think again. let us milk it and release another spider man. geez a lou.
22,"Apr 26, 2019",8,Absolutely strange how they could cut so strong first part of Avengers and spoil the second one! All dialogues are weak and absurd same as a few plot lines. The last 5 minutes of the film is all-around failure!
23,"Sep 2, 2019",9,"The dumbing down of Hulk and ruining his character by turning him into an utter wimp, turning Thor into a bumbling drunkard, really? Well done Disney on ruining yet another couple of hero's characters (See Luke Skywalker and Yoda in Disney's Last Jedi for extra confirmation of this) That's all I've got to say about this movie."
24,"Nov 4, 2019",10,"Avengers Endgame is the culmination of 11 years of movies, in this vast universe of comics, as a fan since the first iron man movie, which hooked, I thought that the Winter Soldier was the best Marvel movie, but Infinity War and Endgame made me To think twice, this movie is something truly epic, I had not seen something like this since the Lord of the Rings: the return of the king, and even that has plot holes, and that he makes the same mistakes as his predecessor Infinity war brothers Russo did an incredible job together with the whole cast, it's one of those movies to watch before he dies, this movie does put an ""End"" on this Infinity Saga."
