date,rating,review
2019.04.24. 11:05,"별점(10점 만점 중)
10",아이언맨으로 시작해서 아이언맨으로 끝난다..
2019.04.24. 10:51,"별점(10점 만점 중)
10",마지막 한타에서 쌌습니다
2019.04.24. 10:51,"별점(10점 만점 중)
10",고맙다.나의 20대를 채워줘서
2019.04.24. 12:29,"별점(10점 만점 중)
10",뭐 심하게 재미있지는 않고... 한 4번정도만 봐야겠어요... 아이맥스로..
2019.04.24. 13:41,"별점(10점 만점 중)
10",토르의 뱃살은 밸런스를 위해서라는 게 학계의 정설
2019.04.24. 10:55,"별점(10점 만점 중)
10",3시간에 담은 11년 마블의 역사 인정
2019.04.24. 11:16,"별점(10점 만점 중)
10",I'm Iron Man.
2019.04.24. 12:48,"별점(10점 만점 중)
10",이 영화 제대로 즐길려면 마블 전작 다 보고 오셔야합니다.
2019.04.24. 12:14,"별점(10점 만점 중)
10",조조예매하고 못일어났다..
2019.04.24. 10:49,"별점(10점 만점 중)
10",아이언맨으로 시작해 아이언맨으로 끝나는 대장정
2019.04.24. 13:07,"별점(10점 만점 중)
10",엔드게임이라는 부제는 누가 붙혔는지는 몰라도 진짜 완벽하다
2019.04.24. 11:30,"별점(10점 만점 중)
10",다음 아이언맨은 아이언맨3에나온 꼬마애구나...
2019.04.24. 11:29,"별점(10점 만점 중)
10",쿠키없으니까 기다리지마세요
2019.04.24. 13:09,"별점(10점 만점 중)
10",완다개좋아3000만큼
2019.04.25. 01:54,"별점(10점 만점 중)
10",스톤이 없는 타노스는 약할줄 알았는데 그래도 좀 쎄긴 하더라 세명을 걍 갖고놀아버리네
2019.04.24. 12:39,"별점(10점 만점 중)
10",???? : hail... hydra...
2019.04.24. 13:10,"별점(10점 만점 중)
10",3000편만 더 만들어 주세요
2019.04.24. 11:15,"별점(10점 만점 중)
10",대작은 대작이네요...시원섭섭하고 아쉽습니다ㅎㅎ
2019.04.24. 10:49,"별점(10점 만점 중)
10",영화 시작하지마자 인생 최대의 급똥이 찾아왔지만 화장실을 가지 않아도 됐다. 시각과 청각을 제외한 모든 감각이 멎었다고 착각할 정도로 최고의 영화.
2019.04.24. 21:55,"별점(10점 만점 중)
10",그래서 로키는 어케되는데?
2019.04.24. 18:04,"별점(10점 만점 중)
10",와 상영 시간 한 시간 더 했어도 만족했을 것 같다.
2019.04.25. 01:44,"별점(10점 만점 중)
8",재밌는데 캐붕 너무 심했음 ㅠㅜ 재밌긴 재밌는데 아 햄식이 핫바디는 암묵적인 룰 아니었냐고요....
2019.04.24. 13:07,"별점(10점 만점 중)
10",진짜 소름이 돋음 역대급 전투씬인듯
2019.04.24. 11:15,"별점(10점 만점 중)
10",재밌었는데 왜 개인적으론 인피니티 워가 더 재밌는것 같이 느껴질까요? 아무튼 세대교체를 위한 영화 잘 봤습니다. 다음에 나오게 될 어벤져스가 기대되네요.
2019.04.26. 21:17,"별점(10점 만점 중)
10",10대는 해리포였고 20대는 어벤져스였다
2019.04.24. 13:11,"별점(10점 만점 중)
10",토니....그동안 고생 많았어 이제 불안해하지 말고 편안한 곳에서 맛있는거 먹고 푹 쉬어
2019.04.24. 17:26,"별점(10점 만점 중)
10",아 보고나니 뭔가 가족을 떠나보낸 기분이에요
2019.04.24. 10:51,"별점(10점 만점 중)
10",미쳤습니다.. 7시 첫 영화 보고 출근하는데기분 세상 짜릿.. 보면서 두손 꼭 모으고 입을 틀어막았어요ㅠㅠㅠㅠ 어벤져스 짜릿해...
2019.04.24. 18:05,"별점(10점 만점 중)
10",콜라 대량 흡입금지 화장실 갈 시간이 없습니다
2019.04.24. 21:46,"별점(10점 만점 중)
10",아이언맨의 심장이 따뜻했다는 증거..
2019.04.26. 17:23,"별점(10점 만점 중)
10",대강 예상은했지만 포탈열릴 때 지렸다
2019.04.24. 10:35,"별점(10점 만점 중)
10",온몸에 소름만 한 10번정도 돋은듯..
2019.04.24. 11:57,"별점(10점 만점 중)
10",진짜 10년의 시작과 끝을 너무 멋있게 보여줬다어셈블
2019.04.24. 19:55,"별점(10점 만점 중)
10",아이언맨4 잘보고 왔습니다.
2019.04.24. 10:40,"별점(10점 만점 중)
10",아이언맨 사가라 해도 과언이 아니다..
2021.09.07. 11:09,"별점(10점 만점 중)
9",마블 팬들을 위한 최고의 선물
2019.04.24. 13:22,"별점(10점 만점 중)
8",쿠키영상 없으니까 친필싸인 다보면 집가도됨
2019.04.25. 07:30,"별점(10점 만점 중)
10","누군가와 같은 시간 속에 같은 기억을 공유하며 함께 살아간다는 것은 멋진 일이라고 생각합니다. 함께 해서 즐거웠고, 함께해서 영광이었습니다. 고맙습니다. 어벤저스."
2021.02.19. 20:05,"별점(10점 만점 중)
10",개봉했을때 보고 이해안되는 장면이 많아서 마블시리즈 처음부터 시간순으로 다 보고 다시 보니...완전 감동..명작..
2021.11.05. 21:35,"별점(10점 만점 중)
10",그냥 안보면 후회함 ㄹㅇ
