date,rating,review
19-Jan-25,5,"Espetacular!!!! Cgi bom, boas cenas de luta"
18-Jan-25,5,Yeh Nh Dekha To Kuch Nh Dekha
17-Jan-25,5,This movie is the embodiment of ten years of perfection!!
15-Jan-25,0.5,Endgame is the wqorst film i've ever watched dop not recomment!!!!
07-Jan-25,5,Words can't describe this experience at the big screen! 11 years of build-up and it did not disappoi...
01-Jan-25,5,The end of an entire era of movies. The Avengers’ final installment is absolutely thrilling and exci...
01-Jan-25,5,The Scarlet Witch 💥
31-Dec-24,4,"A solid ending to the original MCU Infinity Saga that mostly sticks the landing, even if it gets a b..."
29-Dec-24,5,Best Avengers Movie hands down I don’t care what anyone says
27-Dec-24,5,They really brought it home.
26-Dec-24,4,(Spoiler Alert) This movie was good but it could've been better. I expected a bit more from this mov...
25-Dec-24,5,This is such an excellent movie. And a superb finish to the infinite saga. 👍👍two thumbs up. Unfortun...
24-Dec-24,5,The best marvel movie before the plethora of bad ones to come.
24-Dec-24,5,good bay my old friends i go to the another life i will miss all that
23-Dec-24,5,I watched this 1000x times and still goosebumps
23-Dec-24,5,The perfect conclusion to the MCU’s Infinity saga and the greatest comic book film of all time.
21-Dec-24,5,Best superhero movie of all time. Avengers: Endgame follows infinity war with such style to end the ...
20-Dec-24,4.5,Goooooooooooood ....
19-Dec-24,4,"Despite some issues I have with its climax which feels overstuffed and incoherent at times, this mov..."
17-Dec-24,3.5,"Avengers: Endgame was really good. I fun, interesting adventure. I give it a 73%"
15-Dec-24,5,An amazing film… the only bad thing about it is how I don’t think they will be able to top it ever… ...
14-Dec-24,5,Peak again.
13-Dec-24,5,"this feels a bit slow at times, but it’s still my favorite marvel movie ever. can’t wait for the gan..."
12-Dec-24,5,This final battle was absolutely brilliant loved the story and before I finish and I am iron man
12-Dec-24,3,Decent ending for the Thanos MCU storyline but way too long for it's own good.
02-Dec-24,5,“It was beautiful.” 🥹
01-Dec-24,4.5,"The movie was one of the most amazing movies, with its iconic scenes, characters, acting, every seco..."
27-Nov-24,5,"The Marvel Cinematic Universe, a decade-long epic, culminates in the awe-inspiring Avengers: Endgame..."
27-Nov-24,5,Love the Avengers but this one left me crying.
26-Nov-24,4.5,"epic, incredible and exciting. A conclusion to a story that made me tremble at the end."
23-Nov-24,4.5,Amazing movie. Great casting. The only thing is that you need to watch at least most of the previous...
23-Nov-24,5,End game feels our chapter has ended and we are at peace now
22-Nov-24,4.5,The character deaths broke my heart. It was a truly magnificent and wonderful movie. It should defin...
18-Nov-24,5,A Marvel movie that is simply the crown jewel.
18-Nov-24,5,Direção: Bom Atuação: Bom Roteiro: Bom Caracterização: Bom Soundtrack: Bom
13-Nov-24,2,4/10 movie rlly is stupid..cant watch it more than once. OVER RATED!
12-Nov-24,5,The peak of film entertainment! Avengers endgame is the absolute climax of the franchise and the end...
10-Nov-24,5,Simply spectacular from beginning to end
05-Nov-24,3.5,Very good for a Marvel movie.
05-Nov-24,5,This was the best MCU movie I saw in my life
01-Nov-24,5,Absolute brilliant way to end a ten year journey of exceptional movie going experience!
31-Oct-24,5,An amazing end to a great saga 9.7/10
31-Oct-24,4,I love this movie it’s perfect and the ending is amazing perfect end to the infinity saga
30-Oct-24,4.5,"The last Avengers, I will really miss this heroes men, especially when they fight all together, any ..."
26-Oct-24,5,"After a decade of buildup, this movie perfectly ended the infinity saga."
26-Oct-24,5,This is how to make a good Movie
22-Oct-24,5,"A fitting and surprisingly poetic payoff to more than a decade of storytelling, and the start of a b..."
22-Oct-24,5,Marvel Studios and the Russo Brothers stick the landing in the kind of monumental blockbuster that o...
19-Oct-24,5,Great movie with references to other marvel movies and with all avengers
19-Oct-24,5,Peak of superhero movies
17-Oct-24,4,"Endgame is not a movie, it's a series finale for the first five phases of the MCU. In that regard, i..."
14-Oct-24,5,Avengers Endgame is an epic conclusion to over a decade of Marvel storytelling. As a long-time Marve...
14-Oct-24,3.5,I thought the film was good for the most part it did have good story telling throughout. This movie ...
13-Oct-24,5,It is a good ending to the infinity saga
12-Oct-24,5,Absolute cinema must see
12-Oct-24,1.5,"Getting the positives out the way, the acting is superb as usual, the visuals are top notch and the ..."
11-Oct-24,5,Thanos was correct and his mission was righteous.
11-Oct-24,5,四階段中最佳 的作品!將成為永垂不朽的巨作
30-Sep-24,5,Perfect ending to the infinity saga 10/10.
29-Sep-24,4.5,92/100 A Great Ending to the Infinity Saga
29-Sep-24,5,It is a great ending to the Infinity saga from the Marvel’s cinematic universe. It totally worths it...
29-Sep-24,5,What a amazing movie!
27-Sep-24,5,Avengers: Endgame was one of the best movies I have ever seen! I had such a good connection with the...
21-Sep-24,4.5,🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯. What an amazing movie
21-Sep-24,5,This movie is a spectacle to watch and I think if you haven't seen it you haven't lived. When I saw ...
20-Sep-24,5,I loved it. Best movie ever especially with the fight scene where all the superheroes came through t...
20-Sep-24,5,Avengers: Endgame is another epic Marvel film that serves as a satisfying conclusion to the Infinity...
19-Sep-24,5,End of an era. A saga done right.
15-Sep-24,2.5,Very disappointing. I Infinity War was great and genuinely intense and emotional and then they just ...
13-Sep-24,5,"An amazing conclusion to the Infinity Saga. It does not hold up great as far as rewatchabillity, but..."
13-Sep-24,5,"one of, if not the best marvel movie, and the perfect ending to the infinity saga"
04-Sep-24,3,"Massive, sprawling, over-the-top, and overlong—yet for the first time in a long while within the MCU..."
04-Sep-24,5,Everyone was screaming in theatres when cap picked up the hammer
03-Sep-24,5,one of the best movie
03-Sep-24,5,An epic culmination of 10+ years of the MCU!
02-Sep-24,4.5,Great ending to the greatest run in Marvel history. Can't wait for the new Avengers movies Doomsday ...
29-Aug-24,5,"Che posso dire, un film epocale e capolavoro! Nonostante qualche momento noioso è stato tutto emozio..."
